Produto,Preço
Placa de Vídeo MSI GeForce RTX 5080 16G GAMING TRIO OC WHITE, NVIDIA, 16GB, GDDR7, Até 2715MHz - G5080-16GTCW,R$ 12.999,99
Placa de Vídeo MSI Geforce RTX 5070 TI 16G VENTUS 3X OC, NVIDIA, 16GB, GDDR7, Até 2497MHz - G507T-16V3C,R$ 8.299,99
Placa de Vídeo Sapphire PULSE RX 9070 GAMING AMD Radeon, 16GB, GDDR6, Dual HDMI, Dual DP, RDNA 4 - 11349-03-20G,R$ 6.399,99
Placa de Vídeo MSI RTX 5070 Ti 16G GAMING TRIO OC PLUS NVIDIA GeForce, 16GB, GDDR7, 2580MHz, DLSS 4 - G507T-16GTCP,R$ 8.899,99
Placa de Vídeo MSI RTX 5070 Ti 16G VANGUARD SOC LAUNCH EDITION NVIDIA GeForce, 16GB, GDDR7, 2602MHz, DLSS 4 - G507T-16VGSL,R$ 9.099,99
Placa de Vídeo Sapphire PURE RX 9070 GAMING OC AMD Radeon, 16GB, GDDR6, Dual HDMI, Dual DP, RDNA 4 - 11349-02-20G,R$ 6.399,99
Placa de Vídeo RX 6600 CLD 8G ASRock AMD Radeon, 8GB, GDDR6 - 90-GA2RZZ-00UANF,R$ 1.499,00
Placa de Vídeo RTX 4060 1-Click OC 2X TecLab Lite GALAX NVIDIA GeForce, 8GB GDDR6, G-SYNC, DLSS, Ray Tracing,R$ 2.429,99
Placa de Vídeo RX 7600 GAMING OC 8G AMD Radeon Gigabyte, 8GB, GDDR6, 128bits, RGB - GV-R76GAMING OC-8GD,R$ 1.979,99
Placa de Vídeo MSI RTX 3050 Ventus 2X XS OC NVIDIA GeForce, 8GB GDDR6 - 912-V809-4266,R$ 1.589,99
Placa de Vídeo RX 7800XT Gaming 16G XFX Speedster QICK319 AMD Radeon, 16GB DDR6, HDMI 3xDP 3 FAN - RX-78TQICKF9,R$ 4.699,99
Placa de Vídeo RTX 4060 8G V2 Gaming ATS OC ASUS NVIDIA GeForce, 8GB, GDDR6, DLSS, Ray Tracing, G-Sync - 90YV0JM2-M0NA00,R$ 2.599,99
Placa de Video RTX 4060 Infinity 2 Palit NVIDIA GeForce, 8GB, GDDR6, DLSS, Ray Tracing, G-Sync - NE64060019P1-1070L,R$ 2.349,90
Placa de Vídeo GTX 1650 D6 Ventus XS OCV3 MSI NVIDIA GeForce, 4GB GDDR6, G- Sync - 912-V812-003,R$ 1.049,99
Placa De Vídeo Galax GeForce RTX 4060, 8GB, 1 Click Oc V2, GDDR6, 128 Bits - 46nsl8md9nxv,R$ 2.169,00
Placa de Vídeo RX 550 AMD PCYes Dual Fan Projeto Edge, 4GB GDDR5, 128 BITS - PVEX5504GBDF,R$ 529,99
Placa de Vídeo RX 7600 Series Graphics Cards XFX AMD Radeon, 8GB GDDR6 - RX-76PQICKBY,R$ 1.899,99
Placa de vídeo RTX 4060 ASUS Dual 8G EVO OC NVIDIA GeForce, 8GB GDDR6, G-SYNC, Ray Tracing - 90YV0JC7-M0NA00,R$ 2.499,90
Placa de Vídeo RTX 4060 Ti OC Edition Asus TUF Gaming NVIDIA GeForce, 8GB, GDDR6, ARGB, DLSS - TUF-RTX4060TI-O8G-GAMING,R$ 3.479,99
Placa de Vídeo RTX 4060 EAGLE OC Gigabyte NVIDIA GeForce, 8GB GDDR6, DLSS, Ray Tracing - GV-N4060EAGLE OC-8GD,R$ 2.599,99
